sku,status,name,location,old_quantity,new_quantity,delta,pct_change
SKU-001,quantity_changed,Widget A,Warehouse A,150,145,-5,-3.33
SKU-002,quantity_changed,Widget B,Warehouse A,75,70,-5,-6.67
SKU-003,quantity_changed,Gadget Pro,Warehouse B,200,185,-15,-7.5
SKU-004,quantity_changed,Gadget Lite,Warehouse A,50,48,-2,-4.0
SKU-005,quantity_changed,Connector Cable 6ft,Warehouse C,500,480,-20,-4.0
SKU-008,quantity_changed,Power Supply Unit Pro,Warehouse A,45,42,-3,-6.67
SKU-009,quantity_changed,Mounting Bracket Small,Warehouse B,1000,975,-25,-2.5
SKU-010,quantity_changed,Mounting Bracket Large,Warehouse B,750,720,-30,-4.0
SKU-011,quantity_changed,LED Panel 12x12,Warehouse A,120,115,-5,-4.17
SKU-012,quantity_changed,LED Panel 24x24,Warehouse A,90,85,-5,-5.56
SKU-013,quantity_changed,Thermal Paste Tube,Warehouse C,2000,1850,-150,-7.5
SKU-014,quantity_changed,Cooling Fan 80mm,Warehouse B,300,290,-10,-3.33
SKU-015,quantity_changed,Cooling Fan 120mm,Warehouse B,250,245,-5,-2.0
SKU-016,quantity_changed,USB Hub 4-Port,Warehouse A,180,165,-15,-8.33
SKU-017,quantity_changed,USB Hub 7-Port,Warehouse A,95,88,-7,-7.37
SKU-018,quantity_changed,Ethernet Cable Cat5,Warehouse C,800,750,-50,-6.25
SKU-019,quantity_changed,Ethernet Cable Cat6,Warehouse C,600,580,-20,-3.33
SKU-020,quantity_changed,Ethernet Cable Cat6a,Warehouse C,400,390,-10,-2.5
SKU-021,quantity_changed,HDMI Cable 3ft,Warehouse A,450,425,-25,-5.56
SKU-022,quantity_changed,HDMI Cable 6ft,Warehouse A,380,365,-15,-3.95
SKU-023,quantity_changed,HDMI Cable 10ft,Warehouse A,220,210,-10,-4.55
SKU-024,quantity_changed,DisplayPort Cable,Warehouse A,175,170,-5,-2.86
SKU-025,removed,VGA Cable,Warehouse B,50,0,-50,-100.0
SKU-026,removed,DVI Cable,Warehouse B,35,0,-35,-100.0
SKU-027,quantity_changed,Audio Cable 3.5mm,Warehouse C,600,575,-25,-4.17
SKU-028,quantity_changed,Audio Cable RCA,Warehouse C,400,385,-15,-3.75
SKU-029,quantity_changed,Optical Audio Cable,Warehouse C,150,145,-5,-3.33
SKU-030,quantity_changed,Surge Protector 6-Outlet,Warehouse A,200,188,-12,-6.0
SKU-031,quantity_changed,Surge Protector 12-Outlet,Warehouse A,120,112,-8,-6.67
SKU-032,quantity_changed,Extension Cord 10ft,Warehouse B,300,285,-15,-5.0
SKU-033,quantity_changed,Extension Cord 25ft,Warehouse B,180,172,-8,-4.44
SKU-034,quantity_changed,Power Strip,Warehouse A,250,240,-10,-4.0
SKU-035,quantity_changed,Cable Ties 100pk,Warehouse C,1500,1420,-80,-5.33
SKU-036,quantity_changed,Cable Ties 500pk,Warehouse C,400,385,-15,-3.75
SKU-037,quantity_changed,Velcro Straps 50pk,Warehouse C,800,765,-35,-4.38
SKU-038,quantity_changed,Label Maker,Warehouse A,25,22,-3,-12.0
SKU-039,quantity_changed,Label Tape,Warehouse A,200,185,-15,-7.5
SKU-040,quantity_changed,Screwdriver Set,Warehouse B,150,142,-8,-5.33
SKU-041,quantity_changed,Precision Screwdriver Set,Warehouse B,100,95,-5,-5.0
SKU-042,quantity_changed,Wire Stripper,Warehouse B,75,70,-5,-6.67
SKU-043,quantity_changed,Crimping Tool,Warehouse B,60,58,-2,-3.33
SKU-044,quantity_changed,Multimeter Basic,Warehouse A,40,35,-5,-12.5
SKU-045,quantity_changed,Multimeter Professional,Warehouse A,25,23,-2,-8.0
SKU-046,quantity_changed,Soldering Iron,Warehouse B,35,32,-3,-8.57
SKU-047,quantity_changed,Solder Wire,Warehouse B,300,280,-20,-6.67
SKU-048,quantity_changed,Heat Shrink Tubing,Warehouse C,500,475,-25,-5.0
SKU-049,quantity_changed,Electrical Tape,Warehouse C,800,760,-40,-5.0
SKU-050,quantity_changed,Anti-Static Wrist Strap,Warehouse A,200,190,-10,-5.0
SKU-051,quantity_changed,Anti-Static Mat,Warehouse A,50,48,-2,-4.0
SKU-052,quantity_changed,Compressed Air Can,Warehouse C,400,375,-25,-6.25
SKU-053,quantity_changed,Isopropyl Alcohol 99%,Warehouse C,150,140,-10,-6.67
SKU-054,quantity_changed,Microfiber Cloth 10pk,Warehouse C,300,285,-15,-5.0
SKU-055,quantity_changed,Screen Cleaner,Warehouse C,250,235,-15,-6.0
SKU-056,quantity_changed,Keyboard Cleaner Gel,Warehouse C,180,168,-12,-6.67
SKU-057,quantity_changed,Monitor Stand,Warehouse A,45,42,-3,-6.67
SKU-058,quantity_changed,Laptop Stand,Warehouse A,60,58,-2,-3.33
SKU-059,quantity_changed,Tablet Stand,Warehouse A,80,75,-5,-6.25
SKU-060,quantity_changed,Phone Stand,Warehouse A,120,115,-5,-4.17
SKU-061,quantity_changed,Desk Organizer,Warehouse B,90,85,-5,-5.56
SKU-062,quantity_changed,Cable Management Box,Warehouse B,110,105,-5,-4.55
SKU-063,quantity_changed,Headphone Hook,Warehouse B,200,192,-8,-4.0
SKU-064,quantity_changed,Webcam Mount,Warehouse A,75,72,-3,-4.0
SKU-065,quantity_changed,Ring Light 10in,Warehouse A,40,38,-2,-5.0
SKU-066,quantity_changed,Ring Light 18in,Warehouse A,25,22,-3,-12.0
SKU-067,quantity_changed,Tripod Small,Warehouse B,55,52,-3,-5.45
SKU-068,quantity_changed,Tripod Large,Warehouse B,35,33,-2,-5.71
SKU-069,quantity_changed,Green Screen,Warehouse A,20,18,-2,-10.0
SKU-070,quantity_changed,Backdrop Stand,Warehouse A,15,12,-3,-20.0
SKU-071,quantity_changed,USB Microphone,Warehouse A,30,28,-2,-6.67
SKU-072,quantity_changed,XLR Microphone,Warehouse A,20,18,-2,-10.0
SKU-073,quantity_changed,Pop Filter,Warehouse B,100,95,-5,-5.0
SKU-074,quantity_changed,Boom Arm,Warehouse B,45,42,-3,-6.67
SKU-075,quantity_changed,Shock Mount,Warehouse B,40,38,-2,-5.0
SKU-076,added,Stream Deck Mini,Warehouse A,0,15,15,
SKU-077,added,Stream Deck XL,Warehouse A,0,8,8,
SKU-078,added,Capture Card,Warehouse A,0,12,12,
SKU-079,added,USB-C Hub,Warehouse A,0,45,45,
SKU-080,added,Thunderbolt Cable,Warehouse A,0,30,30,
